Year,Term,YearTerm,Subject,Number,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Students,Primary Instructor
2011,Spring,2011-sp,ANSC,205,World Animal Resources,LCD,0,35,0,0,35,0,0,5,0,0,0,0,0,1,75,"Parsons, Carl M"
2011,Spring,2011-sp,ANSC,207,Companion Animal Biology &Care,ONL,0,7,0,4,9,2,2,1,1,1,0,0,1,0,28,"Brandt, Adam L"
2011,Spring,2011-sp,ANSC,207,Companion Animal Biology &Care,ONL,0,12,0,3,6,0,1,5,0,0,0,0,1,0,28,"Brandt, Adam L"
2011,Spring,2011-sp,ANSC,207,Companion Animal Biology &Care,ONL,0,19,0,2,5,2,0,0,0,0,0,0,0,0,28,"Faber, Trevor A"
2011,Spring,2011-sp,ANSC,207,Companion Animal Biology &Care,ONL,0,17,0,2,6,1,2,2,0,0,1,0,0,0,31,"Faber, Trevor A"
2011,Spring,2011-sp,ANSC,207,Companion Animal Biology &Care,ONL,0,10,0,3,11,0,1,2,0,1,1,1,0,0,30,"Guevara Zubilla, Marcial"
2011,Spring,2011-sp,ANSC,207,Companion Animal Biology &Care,ONL,0,11,0,4,9,3,0,1,0,0,0,0,0,0,28,"Guevara Zubilla, Marcial"
2011,Spring,2011-sp,ANSC,223,Animal Nutrition,LEC,0,42,0,0,47,0,0,26,0,0,4,0,0,0,119,"Dilger, Ryan N"
2011,Spring,2011-sp,ANSC,224,Animal Reproduction and Growth,LEC,11,19,17,16,20,13,11,27,8,3,2,2,1,0,150,"Miller, David J"
2011,Spring,2011-sp,ANSC,250,Companion Animals in Society,DIS,0,27,0,4,0,1,1,0,0,0,0,0,1,1,34,"Faber, Trevor A"
2011,Spring,2011-sp,ANSC,250,Companion Animals in Society,DIS,0,28,0,2,4,0,0,0,0,0,1,0,0,0,35,"Albert, Sarah D"
2011,Spring,2011-sp,ANSC,250,Companion Animals in Society,DIS,0,26,0,1,5,0,0,0,0,1,1,0,1,0,35,"Albert, Sarah D"
2011,Spring,2011-sp,ANSC,250,Companion Animals in Society,DIS,0,14,0,5,3,2,0,0,1,2,0,0,2,1,29,"Brandt, Adam L"
2011,Spring,2011-sp,ANSC,250,Companion Animals in Society,DIS,0,18,0,5,3,5,0,1,0,0,0,0,2,0,34,"Brandt, Adam L"
2011,Spring,2011-sp,ANSC,298,Undergraduate Seminar,LEC,0,79,0,0,7,0,0,0,0,0,0,0,0,0,86,"Clark, Jimmy H"
2011,Spring,2011-sp,ANSC,299,Companion Animal Trip,LCD,0,25,0,0,5,0,0,0,0,0,0,0,0,0,30,"Fischer-Brown, Amy E"
2011,Spring,2011-sp,ANSC,306,Equine Science,LAB,2,26,0,3,2,0,0,0,0,0,0,0,0,0,33,"Kline, Kevin H"
2011,Spring,2011-sp,ANSC,306,Equine Science,LAB,1,16,0,1,3,0,0,1,0,0,1,0,0,0,23,"Kline, Kevin H"
2011,Spring,2011-sp,ANSC,409,Meat Science,LCD,3,22,0,0,8,0,0,4,0,0,0,0,0,0,37,"McKeith, Floyd K"
2011,Spring,2011-sp,ANSC,422,Companion Animal Nutrition,LEC,0,30,0,0,15,0,0,7,0,0,1,0,1,0,54,"Swanson, Kelly S"
2011,Spring,2011-sp,ANSC,499,Animal Shelter Management,LCD,5,26,0,0,1,0,0,0,0,0,0,0,0,0,32,"Fischer-Brown, Amy E"
2011,Spring,2011-sp,ANSC,520,Protein and Energy Nutrition,LEC,0,10,0,0,16,0,0,1,0,0,0,0,2,0,29,"Fahey, George C"
2011,Spring,2011-sp,ANTH,101,Introduction to Anthropology,LCD,0,70,0,0,58,0,0,23,0,0,8,0,5,0,164,"Lucero, Lisa J"
2011,Spring,2011-sp,ANTH,101,Introduction to Anthropology,LEC,13,17,0,0,6,0,0,4,0,0,0,0,1,0,41,"Lucero, Lisa J"
2011,Spring,2011-sp,ANTH,102,Human Origins and Culture,DIS,1,2,1,5,4,3,4,1,0,0,0,0,0,0,21,"Lindsay, Colleen E"
2011,Spring,2011-sp,ANTH,102,Human Origins and Culture,DIS,0,5,3,6,5,4,0,0,1,0,0,0,0,0,24,"Melber, Talia"
2011,Spring,2011-sp,ANTH,102,Human Origins and Culture,DIS,0,4,1,5,3,2,0,4,0,0,0,2,2,0,23,"Lindsay, Colleen E"
2011,Spring,2011-sp,ANTH,102,Human Origins and Culture,DIS,4,1,0,3,4,2,3,3,0,0,0,0,3,0,23,"Lindsay, Colleen E"
2011,Spring,2011-sp,ANTH,102,Human Origins and Culture,DIS,0,8,1,6,5,2,1,0,1,0,0,0,0,0,24,"Melber, Talia"
2011,Spring,2011-sp,ANTH,103,Anthro in a Changing World,LEC,39,49,48,27,35,24,11,9,8,1,0,0,1,1,252,"Lugo, Alejandro"
2011,Spring,2011-sp,ANTH,103,Anthro in a Changing World,ONL,4,13,28,19,10,9,1,1,1,0,1,0,1,1,88,"Moodie, Ellen"
2011,Spring,2011-sp,ANTH,106,Hist Arch Americas,LCD,18,31,7,2,10,5,0,0,0,0,1,0,0,1,74,"Fennell, Christopher"
2011,Spring,2011-sp,ANTH,143,Biology of Human Behavior,ONL,62,21,4,8,11,4,2,3,0,0,1,0,2,0,118,"Hughes, Cris E"
2011,Spring,2011-sp,ANTH,209,"Food, Culture, and Society",LCD,0,161,22,13,3,1,2,1,0,0,0,0,0,0,203,"Manalansan, Martin F"
2011,Spring,2011-sp,ANTH,230,Sociocultural Anthropology,DIS,3,8,9,5,1,0,1,0,0,0,0,0,0,1,27,"Spreng, Elizabeth A"
2011,Spring,2011-sp,ANTH,230,Sociocultural Anthropology,DIS,3,9,5,2,1,1,1,0,0,0,0,0,0,0,22,"Youngling, Elizabeth L"
2011,Spring,2011-sp,ANTH,230,Sociocultural Anthropology,DIS,1,1,11,1,5,2,0,3,1,0,0,0,0,0,25,"Spreng, Elizabeth A"
